age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,y
44,blue-collar,married,primary,no,503,yes,no,unknown,7,may,629,2,-1,0,unknown,no
40,retired,married,primary,no,407,yes,no,unknown,7,may,502,1,-1,0,unknown,no
46,self-employed,married,tertiary,no,2303,yes,no,unknown,7,may,241,1,-1,0,unknown,no
39,management,married,tertiary,no,305,yes,no,unknown,7,may,275,6,-1,0,unknown,no
35,admin.,married,secondary,no,0,no,no,unknown,7,may,326,1,-1,0,unknown,no
57,technician,married,secondary,no,197,no,no,unknown,7,may,32,1,-1,0,unknown,no
45,self-employed,divorced,secondary,no,-139,yes,no,unknown,7,may,152,3,-1,0,unknown,no
45,blue-collar,married,primary,no,97,yes,no,unknown,7,may,923,3,-1,0,unknown,no
33,blue-collar,single,primary,no,95,yes,no,unknown,7,may,102,1,-1,0,unknown,no
44,technician,divorced,secondary,no,-329,yes,no,unknown,7,may,171,1,-1,0,unknown,no
54,management,married,tertiary,yes,-248,yes,yes,unknown,7,may,112,1,-1,0,unknown,no
43,blue-collar,divorced,secondary,no,370,yes,no,unknown,7,may,216,1,-1,0,unknown,no
47,admin.,single,secondary,no,594,yes,no,unknown,7,may,161,1,-1,0,unknown,no
47,blue-collar,married,secondary,no,387,yes,no,unknown,7,may,122,2,-1,0,unknown,no
38,services,married,secondary,no,208,yes,no,unknown,7,may,800,1,-1,0,unknown,no
35,technician,married,secondary,no,118,yes,no,unknown,7,may,236,1,-1,0,unknown,no
31,technician,married,secondary,no,344,yes,no,unknown,7,may,123,1,-1,0,unknown,no
32,management,married,tertiary,no,233,yes,no,unknown,7,may,193,1,-1,0,unknown,no
47,management,divorced,tertiary,no,447,no,yes,unknown,7,may,126,1,-1,0,unknown,no
31,services,married,tertiary,no,309,yes,yes,unknown,7,may,294,1,-1,0,unknown,no
38,admin.,single,secondary,no,100,yes,no,unknown,7,may,786,1,-1,0,unknown,yes
32,services,married,secondary,no,0,yes,yes,unknown,7,may,255,2,-1,0,unknown,no
47,admin.,married,primary,no,192,yes,no,unknown,7,may,47,1,-1,0,unknown,no
47,management,divorced,tertiary,no,34,yes,no,unknown,7,may,104,1,-1,0,unknown,no
28,blue-collar,single,secondary,no,97,yes,no,unknown,7,may,67,1,-1,0,unknown,no
38,blue-collar,married,unknown,no,5,yes,no,unknown,7,may,221,2,-1,0,unknown,no
37,unemployed,divorced,secondary,no,74,yes,no,unknown,7,may,150,1,-1,0,unknown,no
32,blue-collar,married,secondary,no,-205,yes,no,unknown,7,may,388,1,-1,0,unknown,no
33,blue-collar,married,secondary,no,0,no,no,unknown,7,may,107,1,-1,0,unknown,no
40,blue-collar,married,secondary,yes,-94,yes,yes,unknown,7,may,227,1,-1,0,unknown,no
39,blue-collar,married,primary,no,20,yes,no,unknown,7,may,109,1,-1,0,unknown,no
33,admin.,married,secondary,no,-6,yes,no,unknown,7,may,566,2,-1,0,unknown,no
43,admin.,single,unknown,no,87,yes,no,unknown,7,may,328,2,-1,0,unknown,no
39,blue-collar,married,primary,no,106,yes,no,unknown,7,may,56,1,-1,0,unknown,no
49,services,married,secondary,no,1496,yes,no,unknown,7,may,218,4,-1,0,unknown,no
33,technician,married,secondary,no,0,yes,no,unknown,7,may,432,1,-1,0,unknown,no
58,retired,married,secondary,no,268,yes,no,unknown,7,may,516,1,-1,0,unknown,no
42,blue-collar,married,primary,no,803,yes,no,unknown,7,may,171,2,-1,0,unknown,no
46,admin.,divorced,secondary,no,207,yes,no,unknown,7,may,485,4,-1,0,unknown,no
38,blue-collar,single,secondary,no,-1,yes,no,unknown,7,may,72,1,-1,0,unknown,no
47,admin.,married,unknown,no,0,yes,no,unknown,7,may,164,1,-1,0,unknown,no
50,technician,married,secondary,no,73,no,no,unknown,7,may,93,1,-1,0,unknown,no
30,services,single,secondary,no,342,yes,no,unknown,7,may,206,2,-1,0,unknown,no
40,blue-collar,married,unknown,no,-4,yes,no,unknown,7,may,311,1,-1,0,unknown,no
41,blue-collar,married,unknown,no,225,yes,no,unknown,7,may,690,2,-1,0,unknown,no
39,admin.,married,secondary,no,367,yes,no,unknown,7,may,106,1,-1,0,unknown,no
36,entrepreneur,married,tertiary,no,1722,yes,no,unknown,7,may,349,2,-1,0,unknown,no
41,blue-collar,married,secondary,no,108,yes,yes,unknown,7,may,203,1,-1,0,unknown,no
52,blue-collar,divorced,primary,no,196,yes,no,unknown,7,may,119,3,-1,0,unknown,no
29,blue-collar,single,primary,no,365,yes,yes,unknown,7,may,245,2,-1,0,unknown,no
42,admin.,divorced,secondary,no,0,yes,no,unknown,7,may,229,2,-1,0,unknown,no
34,blue-collar,married,secondary,no,42,yes,no,unknown,7,may,154,2,-1,0,unknown,no
44,blue-collar,married,primary,no,-171,yes,no,unknown,7,may,441,2,-1,0,unknown,no
46,blue-collar,married,secondary,no,442,yes,no,unknown,7,may,105,2,-1,0,unknown,no
44,services,divorced,secondary,no,396,yes,yes,unknown,7,may,396,4,-1,0,unknown,no
39,housemaid,married,secondary,no,365,yes,no,unknown,7,may,274,4,-1,0,unknown,no
27,blue-collar,single,secondary,no,0,yes,no,unknown,7,may,191,4,-1,0,unknown,no
51,technician,married,secondary,no,221,yes,no,unknown,7,may,139,3,-1,0,unknown,no
37,management,divorced,tertiary,no,42,yes,no,unknown,7,may,564,3,-1,0,unknown,no
32,admin.,married,secondary,no,1293,yes,no,unknown,7,may,161,2,-1,0,unknown,no
43,entrepreneur,married,primary,no,526,yes,no,unknown,7,may,79,4,-1,0,unknown,no
46,admin.,married,primary,no,40,yes,no,unknown,7,may,591,3,-1,0,unknown,no
38,blue-collar,married,primary,no,1807,no,no,unknown,7,may,348,3,-1,0,unknown,no
48,blue-collar,married,secondary,no,1230,yes,yes,unknown,7,may,152,3,-1,0,unknown,no
33,blue-collar,divorced,secondary,no,126,yes,no,unknown,7,may,248,3,-1,0,unknown,no
36,blue-collar,married,primary,no,-79,no,no,unknown,7,may,159,3,-1,0,unknown,no
34,services,divorced,secondary,no,78,yes,no,unknown,7,may,35,3,-1,0,unknown,no
48,admin.,divorced,secondary,no,268,yes,no,unknown,7,may,71,4,-1,0,unknown,no
38,unemployed,married,primary,no,447,yes,no,unknown,7,may,365,4,-1,0,unknown,no
31,blue-collar,married,tertiary,no,2827,yes,no,unknown,8,may,238,3,-1,0,unknown,no
32,admin.,single,secondary,no,89,yes,yes,unknown,8,may,308,3,-1,0,unknown,no
39,blue-collar,married,primary,no,70,no,no,unknown,8,may,813,1,-1,0,unknown,yes
41,management,married,tertiary,no,141,yes,yes,unknown,8,may,146,3,-1,0,unknown,no
35,management,divorced,tertiary,no,3837,yes,no,unknown,8,may,1084,1,-1,0,unknown,yes
28,housemaid,divorced,primary,no,1,yes,no,unknown,8,may,923,1,-1,0,unknown,no
33,unemployed,single,secondary,no,233,yes,no,unknown,8,may,221,4,-1,0,unknown,no
39,admin.,married,secondary,no,419,yes,yes,unknown,8,may,35,1,-1,0,unknown,no
26,technician,single,secondary,no,2087,no,no,unknown,8,may,151,1,-1,0,unknown,no
40,technician,married,tertiary,no,103,yes,no,unknown,8,may,135,2,-1,0,unknown,no
34,management,married,tertiary,no,133,yes,no,unknown,8,may,65,1,-1,0,unknown,no
30,admin.,single,secondary,no,387,yes,no,unknown,8,may,75,1,-1,0,unknown,no
32,blue-collar,single,secondary,no,5,yes,yes,unknown,8,may,134,1,-1,0,unknown,no
48,blue-collar,single,unknown,no,71,yes,no,unknown,8,may,101,2,-1,0,unknown,no
38,management,married,secondary,no,65,yes,no,unknown,8,may,56,1,-1,0,unknown,no
33,admin.,divorced,secondary,no,1128,yes,no,unknown,8,may,139,2,-1,0,unknown,no
48,technician,divorced,secondary,no,177,yes,no,unknown,8,may,471,1,-1,0,unknown,no
31,self-employed,married,tertiary,no,322,yes,no,unknown,8,may,159,1,-1,0,unknown,no
44,blue-collar,married,primary,no,185,yes,no,unknown,8,may,249,1,-1,0,unknown,no
58,retired,married,tertiary,no,44,yes,no,unknown,8,may,12,2,-1,0,unknown,no
43,services,divorced,secondary,no,130,yes,no,unknown,8,may,193,1,-1,0,unknown,no
35,self-employed,married,tertiary,no,844,yes,no,unknown,8,may,60,1,-1,0,unknown,no
33,blue-collar,married,primary,yes,-744,yes,no,unknown,8,may,206,1,-1,0,unknown,no
47,management,married,tertiary,no,643,yes,no,unknown,8,may,155,1,-1,0,unknown,no
35,management,married,tertiary,no,1942,yes,no,unknown,8,may,249,1,-1,0,unknown,no
52,technician,married,secondary,no,291,no,no,unknown,8,may,143,1,-1,0,unknown,no
38,management,married,tertiary,no,66,yes,no,unknown,8,may,124,1,-1,0,unknown,no
38,blue-collar,married,secondary,no,4586,yes,no,unknown,8,may,784,1,-1,0,unknown,no
32,services,married,secondary,no,442,yes,no,unknown,8,may,207,1,-1,0,unknown,no
26,blue-collar,single,secondary,no,-29,yes,no,unknown,8,may,196,1,-1,0,unknown,no
36,technician,single,secondary,no,1832,yes,no,unknown,8,may,154,1,-1,0,unknown,no
28,technician,married,primary,no,-58,yes,no,unknown,8,may,74,1,-1,0,unknown,no
55,unemployed,single,tertiary,no,1513,yes,no,unknown,8,may,60,1,-1,0,unknown,no
36,blue-collar,married,primary,no,250,yes,no,unknown,8,may,149,1,-1,0,unknown,no
35,technician,single,secondary,no,365,yes,no,unknown,8,may,256,2,-1,0,unknown,no
31,management,single,tertiary,no,1315,yes,no,unknown,8,may,156,1,-1,0,unknown,no
34,technician,married,secondary,no,65,yes,no,unknown,8,may,63,3,-1,0,unknown,no
51,blue-collar,married,unknown,no,125,yes,no,unknown,8,may,102,2,-1,0,unknown,no
55,entrepreneur,married,primary,no,-24,yes,no,unknown,8,may,176,1,-1,0,unknown,no
44,blue-collar,married,secondary,yes,-617,yes,no,unknown,8,may,172,1,-1,0,unknown,no
33,blue-collar,married,secondary,no,1988,yes,no,unknown,8,may,211,2,-1,0,unknown,no
46,technician,married,tertiary,no,675,yes,no,unknown,8,may,50,1,-1,0,unknown,no
43,technician,married,tertiary,no,2331,yes,no,unknown,8,may,364,4,-1,0,unknown,no
35,blue-collar,divorced,secondary,no,0,yes,no,unknown,8,may,477,1,-1,0,unknown,no
50,services,divorced,secondary,no,145,yes,no,unknown,8,may,170,1,-1,0,unknown,no
33,admin.,divorced,secondary,no,140,yes,no,unknown,8,may,139,1,-1,0,unknown,no
58,blue-collar,married,primary,no,5,no,no,unknown,8,may,177,2,-1,0,unknown,no
46,blue-collar,married,primary,no,174,yes,yes,unknown,8,may,108,3,-1,0,unknown,no
37,technician,single,tertiary,no,31,yes,no,unknown,8,may,72,1,-1,0,unknown,no
36,services,single,secondary,no,-45,yes,no,unknown,8,may,289,1,-1,0,unknown,no
31,blue-collar,married,secondary,no,335,yes,no,unknown,8,may,226,1,-1,0,unknown,no
43,management,single,tertiary,no,2067,yes,no,unknown,8,may,756,1,-1,0,unknown,yes
37,admin.,married,primary,no,242,yes,no,unknown,8,may,161,8,-1,0,unknown,no
44,services,divorced,secondary,no,240,yes,no,unknown,8,may,155,2,-1,0,unknown,no
35,blue-collar,married,secondary,no,-339,yes,no,unknown,8,may,389,2,-1,0,unknown,no
30,blue-collar,married,primary,no,4,yes,no,unknown,8,may,32,2,-1,0,unknown,no
28,services,married,secondary,no,20,yes,yes,unknown,8,may,252,2,-1,0,unknown,no
38,technician,married,unknown,no,90,yes,yes,unknown,8,may,20,2,-1,0,unknown,no
31,blue-collar,married,primary,no,406,yes,no,unknown,8,may,31,1,-1,0,unknown,no
30,technician,single,tertiary,no,178,yes,no,unknown,8,may,234,1,-1,0,unknown,no
44,technician,married,unknown,no,185,yes,yes,unknown,8,may,63,1,-1,0,unknown,no
48,admin.,divorced,secondary,no,267,no,no,unknown,8,may,266,1,-1,0,unknown,no
29,management,divorced,tertiary,no,607,yes,yes,unknown,8,may,240,3,-1,0,unknown,no
34,management,married,secondary,no,487,yes,no,unknown,8,may,442,2,-1,0,unknown,no
43,blue-collar,married,primary,no,-192,yes,no,unknown,8,may,1120,2,-1,0,unknown,yes
37,blue-collar,married,secondary,no,121,yes,no,unknown,8,may,617,2,-1,0,unknown,no
33,blue-collar,married,secondary,no,527,yes,yes,unknown,8,may,81,2,-1,0,unknown,no
43,services,single,unknown,no,193,yes,no,unknown,8,may,74,7,-1,0,unknown,no
34,management,married,tertiary,no,76,no,no,unknown,8,may,335,9,-1,0,unknown,no
35,technician,single,secondary,no,433,yes,no,unknown,8,may,163,2,-1,0,unknown,no
38,services,divorced,secondary,no,5873,no,no,unknown,8,may,191,2,-1,0,unknown,no
38,blue-collar,married,primary,no,362,yes,no,unknown,8,may,100,5,-1,0,unknown,no
31,technician,single,tertiary,no,948,yes,no,unknown,8,may,91,2,-1,0,unknown,no
33,blue-collar,single,secondary,no,56,yes,no,unknown,8,may,112,2,-1,0,unknown,no
42,management,single,tertiary,no,1768,yes,no,unknown,8,may,193,2,-1,0,unknown,no
38,unemployed,married,primary,no,1147,yes,yes,unknown,8,may,249,5,-1,0,unknown,no
36,blue-collar,married,secondary,no,504,yes,no,unknown,8,may,481,2,-1,0,unknown,no
27,technician,single,secondary,no,584,yes,no,unknown,8,may,192,2,-1,0,unknown,no
31,services,married,primary,no,-732,yes,no,unknown,8,may,6,2,-1,0,unknown,no
33,technician,married,secondary,no,832,yes,yes,unknown,8,may,246,3,-1,0,unknown,no
48,blue-collar,married,primary,no,2642,yes,no,unknown,8,may,330,3,-1,0,unknown,no
36,technician,married,secondary,no,195,yes,no,unknown,8,may,380,2,-1,0,unknown,no
43,technician,divorced,secondary,no,177,yes,no,unknown,8,may,209,3,-1,0,unknown,no
41,services,married,secondary,no,639,yes,no,unknown,8,may,1187,2,-1,0,unknown,no
32,blue-collar,married,secondary,no,20,yes,yes,unknown,8,may,117,3,-1,0,unknown,no
32,management,single,tertiary,no,394,yes,no,unknown,8,may,466,2,-1,0,unknown,no
39,blue-collar,married,primary,no,-432,yes,no,unknown,8,may,159,3,-1,0,unknown,no
39,management,single,tertiary,no,-85,yes,no,unknown,8,may,423,2,-1,0,unknown,no
52,management,divorced,secondary,no,123,no,no,unknown,8,may,306,2,-1,0,unknown,no
54,unemployed,married,secondary,no,23,yes,no,unknown,8,may,27,3,-1,0,unknown,no
47,technician,divorced,secondary,no,699,yes,no,unknown,8,may,182,1,-1,0,unknown,no
35,management,married,tertiary,no,14,yes,yes,unknown,8,may,64,1,-1,0,unknown,no
33,services,married,secondary,no,5034,yes,no,unknown,8,may,207,3,-1,0,unknown,no
34,blue-collar,married,primary,no,365,yes,no,unknown,9,may,85,2,-1,0,unknown,no
28,technician,single,secondary,no,-9,yes,yes,unknown,9,may,175,5,-1,0,unknown,no
52,self-employed,single,tertiary,no,458,yes,yes,unknown,9,may,132,5,-1,0,unknown,no
